Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8342580k(2185872k free), swap 10043876k(2198336k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2017-11-18T17:28:10.353+0300: 9.003: [GC (Allocation Failure) 2017-11-18T17:28:10.353+0300: 9.003: [DefNew: 149336K->9794K(157248K), 0.0196221 secs] 277302K->138933K(506816K), 0.0196795 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:10.432+0300: 9.081: [GC (Allocation Failure) 2017-11-18T17:28:10.432+0300: 9.081: [DefNew: 149570K->9789K(157248K), 0.0193115 secs] 278709K->140326K(506816K), 0.0193758 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:10.509+0300: 9.158: [GC (Allocation Failure) 2017-11-18T17:28:10.509+0300: 9.158: [DefNew: 149565K->9783K(157248K), 0.0193918 secs] 280102K->141718K(506816K), 0.0194558 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:10.586+0300: 9.236: [GC (Allocation Failure) 2017-11-18T17:28:10.586+0300: 9.236: [DefNew: 149559K->9792K(157248K), 0.0194033 secs] 281494K->143125K(506816K), 0.0194658 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:10.662+0300: 9.312: [GC (Allocation Failure) 2017-11-18T17:28:10.662+0300: 9.312: [DefNew: 149568K->9786K(157248K), 0.0197239 secs] 282901K->144517K(506816K), 0.0197866 secs] [Times: user=0.02 sys=0.02, real=0.02 secs] 
2017-11-18T17:28:10.739+0300: 9.389: [GC (Allocation Failure) 2017-11-18T17:28:10.739+0300: 9.389: [DefNew: 149562K->9780K(157248K), 0.0195850 secs] 284293K->145908K(506816K), 0.0196490 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:10.816+0300: 9.466: [GC (Allocation Failure) 2017-11-18T17:28:10.816+0300: 9.466: [DefNew: 149556K->9789K(157248K), 0.0195771 secs] 285684K->147315K(506816K), 0.0196378 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:10.893+0300: 9.543: [GC (Allocation Failure) 2017-11-18T17:28:10.893+0300: 9.543: [DefNew: 149565K->9783K(157248K), 0.0194111 secs] 287091K->148707K(506816K), 0.0194812 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:10.970+0300: 9.620: [GC (Allocation Failure) 2017-11-18T17:28:10.970+0300: 9.620: [DefNew: 149559K->9798K(157248K), 0.0197066 secs] 288483K->150114K(506816K), 0.0197670 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:11.047+0300: 9.697: [GC (Allocation Failure) 2017-11-18T17:28:11.047+0300: 9.697: [DefNew: 149574K->9792K(157248K), 0.0193435 secs] 289890K->151505K(506816K), 0.0194051 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
